genre,count
deep minimal techno,2
electro jazz,12
azontobeats,10
rhode island rap,28
french indietronica,16
french techno,1
icelandic indie,11
icelandic rock,10
comedy rock,12
parody,17
canadian old school hip hop,14
german pop rock,1
canadian indie,270
progressive metal,46
jazz saxophone,30
hyphy,103
modern indie pop,3
argentine heavy metal,2
argentine rock,11
rock nacional,1
chamber folk,3
czech singer-songwriter,1
uk dnb,6
spanish invasion,1
kindermusik,2
french hip hop,3
pop urbaine,1
rap francais,1
experimental rock,9
swamp blues,4
instrumental worship,1
jazz clarinet,1
oth indie,2
reggaeton colombiano,66
double drumming,80
jazz quartet,5
chicago hardcore,28
chicago punk,61
hardcore punk,46
swedish idol pop,6
swing italiano,1
moog,2
gospel r&b,54
alte,1
jordanian pop,1
military cadence,89
hopebeat,45
indie rockism,16
noise rock,27
psychedelic punk,7
canadian blues,1
bow pop,82
comedy,22
bolobedu house,1
south african house,2
afro soul,3
swedish tropical house,4
australian garage punk,12
indie rock italiano,1
italian pop,1
derby indie,1
birmingham grime,12
modern alternative pop,7
latin arena pop,93
classic nz country,1
2-step,1
dark trap,34
meme rap,40
indonesian hip hop,6
rochester ny indie,5
manchester indie,3
canadian psychedelic,1
deep tech house,1
finnish alternative rock,1
progressive trance,26
zouk,3
soundtrack,185
modern reggae,143
ontario indie,8
pop quebecois,9
classic danish pop,2
nordic soundtrack,3
welsh rock,14
modern blues,30
texas blues,8
classic dubstep,23
balkan beats,2
german house,6
light music,1
hmong pop,24
classic belgian pop,1
ruta destroy,1
indie salvadoreno,1
uk rockabilly,1
austin singer-songwriter,2
psychedelic folk rock,1
atlantic canada hip hop,3
chanson,19
birmingham hip hop,2
filthstep,36
trancecore,46
canadian metal,56
library music,2
northern irish punk,1
future house,16
breaks,1
experimental house,1
japanese vgm,9
otacore,81
scorecore,51
british soundtrack,17
finnish metal,4
finnish power metal,2
gothic metal,10
gothic symphonic metal,25
opera metal,8
power metal,17
symphonic metal,17
chill r&b,97
korean r&b,33
unknown,2022
korean pop,23
korean electropop,1
korean singer-songwriter,1
korean ost,1
classical,149
french romanticism,5
late romantic era,69
indie garage rock,198
indie surf,75
queercore,5
chillwave,394
dreamo,102
modern dream pop,40
nu gaze,41
indie punk,129
power-pop punk,25
riot grrrl,12
seattle indie,36
washington indie,30
alabama indie,22
freak folk,431
new weird america,16
garage pop,21
louisville indie,8
aesthetic rap,6
ottawa rap,3
el paso indie,5
lo-fi emo,28
lo-fi indie,77
tulsa indie,1
bay area indie,81
grave wave,24
oakland indie,14
lo-fi rap,10
russian shoegaze,1
nz indie,3
slowcore,16
small room,64
gbvfi,12
post-hardcore,79
krautrock,3
uk alternative hip hop,3
turntablism,53
abstract hip hop,17
alternative emo,168
emo punk,11
melodic hardcore,93
orgcore,81
newfoundland indie,2
rochester mn indie,1
pinoy indie,5
pinoy rock,1
ambient folk,26
no wave,1
kids dance party,6
latin,771
horror punk,10
new jersey hardcore,34
new jersey punk,34
ninja,67
vapor pop,48
world devotional,1
norwegian indie,13
jazztronica,27
nu jazz,79
liquid funk,3
reggae rock,263
texas country,273
modern southern rock,20
redneck,154
red dirt,112
roots americana,19
hawaiian hip hop,43
portland hip hop,22
baton rouge rap,77
florida rap,26
detroit trap,7
vapor trap,128
austindie,40
glitch hop,39
livetronica,32
gothenburg indie,22
chill lounge,20
german electronica,15
uk bass,28
nantes indie,7
hip-hop experimental,1
wonky,55
experimental hip hop,23
glitch,37
